Timestamp,Kolik klientů má Vaše organizace?,Kolik zaměstnanců má Vaše organizace?,Kolik středisek má Vaše organizace?,Jakým způsobem aktuálně evidujete výkony?,"Pokud používáte software, uveďte název (např. Cygnus):",Jaké jsou Vaše přibližné měsíční náklady na software?,Co je pro vás administrativně nejnáročnější?,Jak jste spokojeni s Vaším současným řešením?,Jaké problémy vám současný způsob evidence způsobuje?,Kolik hodin měsíčně zabere ruční zpracování výkazů?,Vedete individuální plány péče digitálně nebo papírově?,Mají pečovatelé při výkonu práce  k dispozici chytrý telefon s přístupem k internetu?,Potřebujete propojení s některým jiným softwarem?,Uvítali byste nasazení takového systému ve vaší organizaci?,Co považujete za největší přínos oproti vašemu současnému řešení?,Jaká měsíční cena by byla pro Vaši organizaci akceptovatelná?,Co by vás od nasazení nového systému odradilo? (školení / migrace dat / jiné),Jak důležitá je pro vás možnost zadávat výkony z mobilního zařízení přímo u klienta?,Preferujete z hlediska bezpečnosti / GDPR:
4/13/2026 9:29:46,více než 100,16 - 30,1,"Specializovaný software, Papírová evidence",James edition,do 2 000 Kč,"Individuální plány péče, Podklady pro fakturaci",4,Žádné,16,Digitálně - je součastí dříve zmíněného software,Ne,"Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)",Ne,Žádné,do 500 Kč,Jsme spokojeni se stávajícím systémem,3,Cloudové řešení (data na serveru poskytovatele)
4/13/2026 10:02:08,více než 100,více než 30,více než 3,"Specializovaný software, Papírová evidence",Pečovatelka Deluxe,do 2 000 Kč,"Podklady pro fakturaci, Plánování směn",3,dvojí evidence časově náročnější,8,Digitálně - používáme separátní software,Ano,"Účetní systém (Pohoda, Money, apod.), Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)",Ano,jednoduchost pro uživatele a automatické generování podkladů vyúčtování,1 500 - 3 000 Kč,nevím,5,Cloudové řešení (data na serveru poskytovatele)
4/13/2026 10:08:06,více než 100,více než 30,2 - 3,Specializovaný software,Petr zajíc- james,2 000 - 10 000 Kč,Plánování směn,3,občasné technické problémy,nezpracováváme ručně,Papírově,Ano,"Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)",Ano,nevím,více než 3 000 Kč,migrace dat,5,Cloudové řešení (data na serveru poskytovatele)
4/13/2026 10:08:50,51 - 100,6 - 15,1,"Specializovaný software, Papírová evidence",Zajíc,do 2 000 Kč,Plánování směn,3,nemáme problémy,40,Digitálně - používáme separátní software,Ne,"Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)",Ano,"nevím, aplikaci bychom museli vyzkoušet",500 - 1 500 Kč,"pokud by byl lepší než současný, tak by nás nic neodradilo",3,Nemám preference / nevím
4/13/2026 10:24:17,více než 100,více než 30,více než 3,Specializovaný software,Cygnus 2 ,Nechci uvádět,Individuální plány péče,3,propojení vedoucích a terénních pracovníků,3 h jeden pracovník,"v současné době máme přechodné období, takže oboje",Ano,"Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)","nevím, již máme Cygnus",nevím,1 500 - 3 000 Kč,"zabezpečení, neznám podrobnosti",5,On-premise (data na vlastním serveru organizace)
4/13/2026 11:52:03,více než 100,16 - 30,2 - 3,Specializovaný software,Cygnus,2 000 - 10 000 Kč,Individuální plány péče,4,chybějící data (omezená) z přechozího softwaru, ručně se zpracovávají vyúčtování pro klienty v externím programu,Digitálně - je součastí dříve zmíněného software,Ne,"Účetní systém (Pohoda, Money, apod.), jiný typ softwaru pro vyúčtování služeb klientům",Ne,nemohu posoudit,1 500 - 3 000 Kč,"opětovně migrovat a kontrolovat data, nelze posoudit",1,Nemám preference / nevím
4/13/2026 13:31:25,21 - 50,do 5,1,Papírová evidence,,0 Kč,"Podklady pro fakturaci, Plánování směn",1,časová náročnost,12,Papírově,Ne,Nepotřebuji integraci,Ano,bylo by to rychlé a přehledné,500 - 1 500 Kč,asi nic,4,Nemám preference / nevím
4/13/2026 14:06:44,více než 100,6 - 15,1,Specializovaný software,Chytrá organizace - přestup na Cygnus,2 000 - 10 000 Kč,"Plánování směn, Sdílení dat v terénu",1,"Software Chytrá organizace neustále hlásí špatné připojení, neustálé výpadky a není vyhovující plánování péče. ",10 hodin ,Papírově,Ano,"Účetní systém (Pohoda, Money, apod.)",Ne,Váš systém je víc připraven na potřeby pečovatelské služby. ,1 500 - 3 000 Kč,"Migrace dat, v současné době však přecházíme na jiný software. ",5,Cloudové řešení (data na serveru poskytovatele)
4/14/2026 7:19:37,51 - 100,6 - 15,1,Specializovaný software,"""Pečovatelská služba"" od pana Zajíce",do 2 000 Kč,Plánování směn,4,nedostatečné plánování směny v programu,10,Digitálně - je součastí dříve zmíněného software,Ano,"Účetní systém (Pohoda, Money, apod.)",nevím,využitelné plánování směn,1 500 - 3 000 Kč,nevím,5,Cloudové řešení (data na serveru poskytovatele)
4/14/2026 9:03:28,51 - 100,6 - 15,1,"Specializovaný software, Papírová evidence",eQuip,2 000 - 10 000 Kč,Podklady pro fakturaci,4,občasný výpadek systému,0,Papírově,Ano,"Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)",Ano,nevím,1 500 - 3 000 Kč,vysoká cena,5,On-premise (data na vlastním serveru organizace)
4/15/2026 18:25:51,51 - 100,6 - 15,2 - 3,Specializovaný software,EQUIP,2 000 - 10 000 Kč,"Individuální plány péče, Podklady pro fakturaci, Sdílení dat v terénu",4,"Software nemá některé prvky, který bychom uvítali např. AI.",6,Digitálně - je součastí dříve zmíněného software,Ano,"Výkaznictví pro MPSV / registr poskytovatelů (např. výroční zprávy, statistické výkazy)",Ano,"Integrace AI, generování nutného obsahu (poznámky k úkonům dle požadavků kraje)",1 500 - 3 000 Kč,"Složitá migrace, nevole zaměstnanců ",4,Cloudové řešení (data na serveru poskytovatele)
